Upload File,Document,Tracker Row,Dept / Portal Tab,Priority,Type,Recommended Disposition,Flags
academicHonorCodeViolation.pdf,Academic Honor Code Violation,Academic Honor Code Violation,Faculty,TBD,myMU e-form capture,Rebuild as e-form (faculty); needs faculty-sections + roster data source,Cascading dropdowns; 3 uploads
childSupportPaid.pdf,Child Support Paid,Child Support Paid,Financial Aid,P2,myMU e-form capture,Hold — confirm still required post-FAFSA-Simplification,FAFSA Simplification; repeating rows
familySizeInCollege2023to2024.pdf,Family Size/Number in College 2023-2024,Family Size/Number in College - 2023-2024,Financial Aid,P1,myMU e-form capture,Hold — number-in-college no longer affects SAI,FAFSA Simplification; Dependent/Independent branch
outsideScholarshipSubmission.pdf,Outside Scholarship Submission,Outside Scholarship Submission,Financial Aid,P1,myMU e-form capture,Rebuild as e-form (still required),Upload required; one form per award
requestForIndependentStatus.pdf,Request for Independent Status,Request for Independent Status,Financial Aid,P4,myMU e-form capture,Rebuild as e-form,Static shared password printed in form — rotate; PII handling
vaNonEducationalBenefit.pdf,VA Non-educational Benefit,VA Non-educational Benefit,Financial Aid,P3,myMU e-form capture,Hold — references 2021 income year; confirm post-Simplification,FAFSA Simplification; multi-page branch
replacementIdCardPage1.pdf + Page2,Replacement ID Card,Replacement ID Card,Student Home / Public Safety,P1,myMU e-form capture,Rebuild as e-form with payment hand-off decision,$10 fee via Payments portlet
muIdCardPhotoFormsandDocumentation.pdf,MU ID Card Photo Submission,MU ID Card - Photo Submission,Forms and Documentation,P2,myMU e-form capture,Rebuild as e-form (photo upload); one form two placements,Duplicate placement on Student Home tab
muIDCardPhotoSubmissionStudentHome.pdf,MU ID Card Photo Submission (Student Home placement),MU ID Card - Photo Submission,Student Home,P2,myMU e-form capture,Same form as above — single build,
summerVehicleRegistrationCashorCheck.pdf,Summer Vehicle Registration — Cash/Check,UNDERGRADUATE Vehicle Registration (family),P1,P1,myMU e-form capture,Consolidate vehicle-registration family into one form,Payment-method variants; 10+ tracker rows
summerVehicleRegistrationCreditorDebit.pdf,Summer Vehicle Registration — Credit/Debit,UNDERGRADUATE Vehicle Registration (family),P1,P1,myMU e-form capture,Consolidate (see above),Payment hand-off
DPTadvisingForm.pdf,Advising Form (DPT),Advising Form (DPT Advisors),DPT Advisors,TBD,myMU e-form capture,Rebuild as e-form template shared with OTD,Needs advisor-advisees data source
OTDadvisingForm.pdf,Advising Form (OTD),Advising Form (OTD Advisors),OTD Advisors,P4,myMU e-form capture,Same template as DPT version,
yr1AnatomyLabLockerPolicies.pdf,YR1 Anatomy Lab Locker Policies,YR1 - Anatomy Lab Locker Policies,OTD Students,P4,myMU e-form capture,Acknowledgement template (shared with DPT locker form),
yr1AnatomyLaboratoryPoliciesandProcedures.pdf,YR1 Anatomy Laboratory Policies and Procedures,YR1 - Anatomy Laboratory Policies and Procedures,OTD Students,P4,myMU e-form capture,Acknowledgement template,
yr1PhotoVideoReleaseForm.pdf,YR1 Photo and Video Release,YR1 - Photo and Video Release Form,OTD Students,P4,myMU e-form capture,Acknowledgement template (shared with DPT),
yr1StudentHandbookAcknowledgement.pdf,YR1 Student Handbook Acknowledgement,"YR1, YR2, YR3 - Student Handbook Acknowledgement",OTD Students,P4,myMU e-form capture,Acknowledgement template (shared with DPT),
yr1yr2yr3CriminalBackgroundCheckandHealthRecordInformationRelease.pdf,YR1-3 Criminal Background Check & Health Record Release,"YR1, YR2, YR3 - Criminal Background Check and Health Record Information Release Acknowledgement Form",OTD Students,P4,myMU e-form capture,Acknowledgement template; sensitive — restrict response access,Prefilled academic year/ID/expected grad
yr1yr2yr3InformedConsentFormClinicalEducationFieldworkEducation.pdf,YR1-3 Informed Consent — Clinical Ed/Fieldwork,"YR1, YR2, YR3 - Informed Consent Form – Clinical Education/Fieldwork Education",OTD Students,P4,myMU e-form capture,Acknowledgement template; content refresh (COVID-era text),
yr1yr2yr3StudentFieldworkHandbookAcknowledgementForm.pdf,YR1-3 Student Fieldwork Handbook Acknowledgement,"YR1, YR2, YR3 - Student Fieldwork Handbook Acknowledgement Form",OTD Students,P4,myMU e-form capture,Acknowledgement template; dual signature,
gift_card_10apr24.pdf,Gift Card/Certificate Authorization Form,Gift Card Authorization Form,Controller's Office,—,True PDF form,SharePoint forms library: MU-Gift-Card-Authorization.pdf,Lane 3 ready
prize_purchase_form_12apr24.pdf,Prize Purchase Form,Prize Purchase Form - 404,Controller's Office,—,True PDF form,SharePoint forms library: MU-Prize-Purchase-Form.pdf,Lane 3 ready
pcard_training_13nov24.pdf,P-Card Training Program (slides),P-Card - Training,Controller's Office,—,Reference document,SharePoint Resources Hub: MU-PCard-Training.pdf,Lane 3 ready
vehicle_rental_info30mar26.pdf,Vehicle Rentals guide (rev 03.30.26),Vehicle Request and Rental Information,Controller's Office,—,Reference document,SharePoint Resources Hub: MU-Vehicle-Rental-Guide.pdf,Lane 3 ready
